relative_path,boxes_processed,mean_abs_diff,max_abs_diff
day3/members/stevan/18_0060.webp,11,3.788104021990741,111
day1/members/klaus/10_0589.webp,9,1.1631854021990742,64
day1/members/tien/19_0392.webp,9,4.565972222222222,106
day2/members/florian/14_0293.webp,9,3.66796875,128
day2/members/florian/14_0324.webp,9,7.854202835648148,175
day3/members/florian/18_0329.webp,9,2.077030888310185,117
day4/members/bao/11_0549.webp,9,1.6596498842592593,86
day4/members/klaus/14_0224.webp,9,2.4078956886574074,147
day1/members/cathal/14_0490.webp,8,2.4812463831018516,88
day2/members/florian/14_0303.webp,8,1.7227105034722223,84
day2/members/tien/19_0472.webp,8,9.82740162037037,131
day2/members/tien/19_0512.webp,8,4.205367476851852,96
day2/members/tien/20_0019.webp,8,1.3547001591435186,96
day3/members/bjorn/18_0483.webp,8,1.106372974537037,77
day3/members/cathal/20_0569.webp,8,11.29641384548611,163
day3/members/stevan/17_0661.webp,8,3.1943901909722223,141
day3/members/tien/18_0251.webp,8,2.4611725983796298,78
day3/members/tien/18_0355.webp,8,0.9109790943287037,70
day4/members/bao/11_0055.webp,8,1.4423737702546295,70
day4/members/cathal/13_0210.webp,8,2.8926414207175926,108
day4/members/klaus/12_0644.webp,8,2.4269205729166665,97
day4/members/klaus/13_0393.webp,8,1.2968478732638888,114
day1/members/allie/10_0546.webp,7,0.9835521556712963,87
day1/members/bjorn/10_0501.webp,7,2.2001953125,88
day1/members/florian/10_0419.webp,7,1.2249168113425926,84
day1/members/klaus/09_0268.webp,7,1.2774884259259258,70
day1/members/werner/10_0429.webp,7,0.6812789351851852,62
day2/members/allie/19_0622.webp,7,2.125877097800926,124
day2/members/cathal/14_0312.webp,7,1.5063295717592593,124
day2/members/luca/14_0354.webp,7,1.6928891782407407,110
day2/members/stevan/11_0452.webp,7,2.796748408564815,167
day2/members/werner/20_0424.webp,7,1.7720630787037037,102
day3/members/klaus/18_0283.webp,7,2.798439308449074,100
day3/members/tien/14_0649.webp,7,2.0718858506944446,86
day4/members/bao/11_0220.webp,7,0.9682707609953703,64
day4/members/bao/13_0504.webp,7,1.2464916087962963,87
day4/members/bao/13_0536.webp,7,1.2647659866898149,94
day4/members/bjorn/14_0135.webp,7,0.9134295428240741,81
day4/members/cathal/12_0648.webp,7,22.12252242476852,243
day4/members/cathal/13_0074.webp,7,1.4288465711805556,85
day4/members/klaus/12_0118.webp,7,1.8598361545138888,88
day4/members/onanong/11_0656.webp,7,3.3579644097222223,114
day4/members/stevan/10_0720.webp,7,1.117115162037037,81
