relative_path,policy_category,attempted_method,artifact_gate_action,final_method,selection_source,privacy_score,utility_score,balanced_score,component_runtime_seconds,output_path,status
day1/members/klaus/09_0114.webp,mixed_scale_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.5595151549370858,0.8550771684196782,0.7736770106548189,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/09_0114.webp,ok
day1/members/klaus/09_0268.webp,medium_face,riddle,fallback_layered,layered_blur_downscale_noise,train_fold_category,1.0,0.5779919664503717,0.8641722512258686,1.5310399362896314,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/09_0268.webp,ok
day1/members/klaus/10_0063.webp,single_face,riddle,fallback_layered,layered_blur_downscale_noise,train_fold_category,1.0,0.6127422884385643,0.8747988002989027,0.6997171593851936,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/10_0063.webp,ok
day1/members/klaus/10_0589.webp,small_face,riddle,fallback_layered,layered_blur_downscale_noise,train_fold_category,1.0,0.5808675713928435,0.8656083442422201,1.7332190083362118,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/10_0589.webp,ok
day1/members/klaus/11_0523.webp,single_face,riddle,fallback_layered,layered_blur_downscale_noise,train_fold_category,1.0,0.57027547904968,0.8603408162946153,0.8918125875208559,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/11_0523.webp,ok
day1/members/klaus/12_0400.webp,no_face,no_action_copy,not_required,no_action_copy,verified_no_face,1.0,1.0,1.0,0.0,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/12_0400.webp,ok
day1/members/klaus/12_0632.webp,motion_blur_or_low_sharpness,riddle,retain_riddle,riddle,train_fold_category,1.0,0.669498174176784,0.896287164584399,0.32362658752085594,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/12_0632.webp,ok
day1/members/klaus/15_0547.webp,no_face,no_action_copy,not_required,no_action_copy,verified_no_face,1.0,1.0,1.0,0.0,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/15_0547.webp,ok
day1/members/klaus/16_0531.webp,single_face,riddle,fallback_layered,layered_blur_downscale_noise,train_fold_category,1.0,0.5969959862048304,0.8710172656311691,0.6481921593851936,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/16_0531.webp,ok
day1/members/klaus/17_0002.webp,single_face,riddle,retain_riddle,riddle,train_fold_category,1.0,0.5420872573090461,0.8603184042792962,0.20688564204432164,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/17_0002.webp,ok
day1/members/klaus/17_0206.webp,medium_face,riddle,fallback_layered,layered_blur_downscale_noise,train_fold_category,1.0,0.5925487988297065,0.8694285725803922,0.7987636222025998,outputs/03_anonymisation/15_materialised_adaptive_policy/images/day1/members/klaus/17_0206.webp,ok
