relative_path,method,face_crop_count,crop_ssim_mean,crop_lpips_mean,facenet_cosine_mean,facenet_reid_rate_060,landmark_pair_rate,landmark_geometry_score,background_preservation_score,face_region_utility_score,metric_status
day3/members/stevan/20_0682.webp,riddle,6,0.7419475614366225,0.36815688014030457,0.020621513947844505,0.0,1.0,0.0,0.997718870639801,0.4756032138832462,ok
day3/members/stevan/20_0682.webp,falco,6,0.737542826476194,0.3829803466796875,0.09551995992660522,0.0,1.0,0.0,0.9973766803741455,0.466649827102695,ok
day1/members/luca/12_0078.webp,riddle,0,,,,,,,0.9992307424545288,,no_face
day1/members/luca/12_0078.webp,falco,0,,,,,,,0.9992307424545288,,no_face
day3/members/tien/14_0649.webp,riddle,7,0.6615615253044101,0.4497610926628113,0.04142909497022629,0.0,0.42857142857142855,0.0,0.9981817007064819,0.3220466540365373,ok
day3/members/tien/14_0649.webp,falco,7,0.6867152613521693,0.44531720876693726,0.07875347882509232,0.0,0.42857142857142855,0.0,0.9979044198989868,0.33648880027868405,ok
day2/members/bjorn/16_0250.webp,riddle,0,,,,,,,0.998610258102417,,no_face
day2/members/bjorn/16_0250.webp,falco,0,,,,,,,0.998610258102417,,no_face
day1/members/stevan/10_0179.webp,riddle,4,0.7014420312874508,0.4123035967350006,0.2407766431570053,0.0,0.75,0.16310539991267703,0.9986094832420349,0.4431872961468251,ok
day1/members/stevan/10_0179.webp,falco,4,0.7303077514176387,0.39027664065361023,0.10363700240850449,0.0,0.75,0.13935742296501852,0.9985587000846863,0.4578087446853327,ok
day3/members/werner/08_0619.webp,riddle,2,0.6150385593313352,0.44032585620880127,0.28938955068588257,0.0,1.0,0.0,0.9980772733688354,0.39510056766156665,ok
day3/members/werner/08_0619.webp,falco,2,0.6206695872098301,0.4954674243927002,0.12474863231182098,0.0,1.0,0.0,0.9979753494262695,0.3706557887934181,ok
day3/members/tien/10_0512.webp,riddle,0,,,,,,,0.9990311861038208,,no_face
day3/members/tien/10_0512.webp,falco,0,,,,,,,0.9990311861038208,,no_face
day1/members/werner/14_0048.webp,riddle,0,,,,,,,0.9988523125648499,,no_face
day1/members/werner/14_0048.webp,falco,0,,,,,,,0.9988523125648499,,no_face
day1/members/klaus/17_0206.webp,riddle,2,0.6804862790404134,0.43838798999786377,0.1207183301448822,0.0,0.5,0.0,0.9979256391525269,0.3439762101157934,ok
day1/members/klaus/17_0206.webp,falco,2,0.6891096974633453,0.4499792456626892,0.029402177780866623,0.0,0.5,0.0,0.997998833656311,0.34119877128082626,ok
day4/members/florian/11_0412.webp,riddle,3,0.5876572147713345,0.46031975746154785,0.053774427622556686,0.0,0.3333333333333333,0.0,0.9979434609413147,0.2773276368029102,ok
day4/members/florian/11_0412.webp,falco,3,0.558709375037357,0.5117430090904236,0.10231522470712662,0.0,0.3333333333333333,0.0,0.9978018403053284,0.2494479847638673,ok
day1/members/allie/18_0412.webp,riddle,3,0.7678982721839387,0.4041179120540619,0.19131235778331757,0.0,1.0,0.0,0.9981580376625061,0.46670544296263783,ok
day1/members/allie/18_0412.webp,falco,3,0.8175067053973413,0.34870612621307373,-0.02525983192026615,0.0,1.0,0.0,0.9981488585472107,0.5121523783960846,ok
day2/members/klaus/18_0601.webp,riddle,2,0.5661898837171901,0.489995539188385,0.2320484220981598,0.0,1.0,0.0,0.9984510540962219,0.3531686971574046,ok
day2/members/klaus/18_0601.webp,falco,2,0.518537524429192,0.5472700595855713,0.17981576919555664,0.0,1.0,0.0,0.998458743095398,0.33148813355021717,ok
day4/members/allie/12_0604.webp,riddle,3,0.7442233858226904,0.4034087657928467,0.006939487997442484,0.0,0.6666666666666666,0.16076548865213924,0.9985513091087341,0.4489651705792628,ok
