relative_path,method,output_path,status,box_count,runtime_seconds,SSIM,LPIPS,AdaFace_cosine_mean,AdaFace_reid_rate,ArcFace_cosine_mean,ArcFace_reid_rate,success,runtime_for_score,privacy_residual_rate,privacy_score,lpips_utility_score,utility_score,face_crop_count,crop_ssim_mean,crop_lpips_mean,facenet_cosine_mean,facenet_reid_rate_060,landmark_pair_rate,landmark_geometry_score,background_preservation_score,face_region_utility_score,metric_status,privacy_score_three_attacker,enhanced_success_score,enhanced_utility_score,runtime_score_constrained,runtime_score_high_compute,enhanced_balanced_score,enhanced_high_compute_score
day1/members/allie/08_0276.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/allie/08_0276.webp,ok,3,0.350222836429603,0.9821297029793638,0.01852252334356308,0.06099308654665947,0.0,0.022558343907197315,0.0,1.0,0.350222836429603,0.0,1.0,0.6295495331287384,0.805839618054051,3,0.5417662256987329,0.446864366531372,0.1485083848237991,0.0,0.6666666666666666,0.3626156381094909,0.998423159122467,0.4115952681245521,ok,1.0,1.0,0.6279757971961432,0.9323522665699524,0.9401529010505986,0.8816279658158381,0.86679917407118
day1/members/allie/09_0160.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/allie/09_0160.webp,ok,4,0.4669637819061373,0.9861002652073066,0.015800392255187035,0.18188373208977282,0.0,0.1876873690634966,0.0,1.0,0.4669637819061373,0.0,1.0,0.6839921548962593,0.835046210051783,4,0.7315932347479426,0.4147872924804687,0.1475429236888885,0.0,0.5,0.1563928198899599,0.9985531568527222,0.4127621871687452,ok,1.0,1.0,0.640254893290358,0.9108356935044162,0.9236249874881477,0.883160037337549,0.8702704620260326
day1/members/allie/09_0273.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/allie/09_0273.webp,ok,6,0.8202387769044378,0.9795392570187101,0.022402750328183174,0.11652148763338725,0.0,0.16908778374393782,0.0,1.0,0.8202387769044378,0.0,1.0,0.5519449934363365,0.7657421252275234,6,0.6909986109071525,0.4342727363109588,0.2202654629945755,0.0,0.8333333333333334,0.0,0.9980106949806212,0.4067442324943088,ok,1.0,1.0,0.6094700358362258,0.8487014908494717,0.8806190389881013,0.8677111598358149,0.857345464492084
day1/members/allie/09_0647.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/allie/09_0647.webp,ok,3,0.3968697705894747,0.9668410242515305,0.043202225118875504,0.14379044870535532,0.0,0.15507048865159354,0.0,1.0,0.3968697705894747,0.0,1.0,0.13595549762248993,0.5513982609370103,3,0.6015504376067327,0.420574277639389,0.072666622698307,0.0,0.6666666666666666,0.6405270923390131,0.996835470199585,0.5103873023285763,ok,1.0,1.0,0.5754365025590508,0.923694440511837,0.9333834535776313,0.865000394818899,0.8480719485745494
day1/members/allie/09_0673.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/allie/09_0673.webp,ok,2,0.2334818909530686,0.9602670958448284,0.04679687321186066,0.24511703103780746,0.0,0.1720888800919056,0.0,1.0,0.2334818909530686,0.0,1.0,0.06406253576278687,0.5121648158038077,2,0.5919145223972919,0.4456115961074829,0.0857465714216232,0.0,1.0,0.4786674029553922,0.9970136880874634,0.5040311429747394,ok,1.0,1.0,0.5565828666176391,0.9543771233136387,0.9581763460127001,0.8624125723166556,0.8427128206168086
day1/members/allie/10_0099.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/allie/10_0099.webp,ok,4,0.5468258512696251,0.9842271009777649,0.01449835766106844,0.15062665194272995,0.0,0.09107908606529236,0.0,1.0,0.5468258512696251,0.0,1.0,0.7100328467786312,0.8471299738781981,4,0.6268155659867645,0.4808940291404724,0.0949075147509574,0.0,0.5,0.3199659011990793,0.9983559846878052,0.4000758459696575,ok,1.0,1.0,0.6387255110048885,0.8964030180058914,0.9130594649808382,0.8812579551020556,0.8692069021007529
day1/members/allie/10_0296.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/allie/10_0296.webp,ok,4,0.5468258512696251,0.9856806949386479,0.014577385038137436,0.18580261431634426,0.0,0.11929811909794807,0.0,1.0,0.5468258512696251,0.0,1.0,0.7084522992372513,0.8470664970879496,4,0.714648779652222,0.4269991815090179,0.1752609312534332,0.0,0.75,0.0,0.9984025955200196,0.3991274895743493,ok,1.0,1.0,0.6382306031743564,0.8964030180058914,0.9130594649808382,0.881109482752896,0.8690336843600667
day1/members/allie/10_0339.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/allie/10_0339.webp,ok,5,0.5837047273826718,0.9848409817482394,0.01667197234928608,0.1204398438334465,0.0,0.14986271895468234,0.0,1.0,0.5837047273826718,0.0,1.0,0.6665605530142784,0.8257007673812589,5,0.7417856036571154,0.4314974844455719,0.2066225558519363,0.2,0.2,0.0,0.9983941316604614,0.3273339515558502,ok,0.9333333333333333,1.0,0.5937866958964748,0.889815674083982,0.9083633200680589,0.8337842428440073,0.8199101762338358
day1/members/allie/10_0546.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/allie/10_0546.webp,ok,7,0.956945239721844,0.9826374231365947,0.017090754583477974,0.07386532319443566,0.0,0.13273921835103206,0.0,1.0,0.956945239721844,0.0,1.0,0.6581849083304405,0.8204111657335176,7,0.7271976658807339,0.4098280370235443,0.1188466325402259,0.0,0.8571428571428571,0.042032481020184,0.9982553720474244,0.438684698471798,ok,1.0,1.0,0.6473323527340484,0.8258112454789037,0.8661855172299854,0.8767808303681048,0.8698755993184162
day1/members/allie/12_0272.webp,riddle,outputs/03_anonymisation/12_riddle/images/day1/members/allie/12_0272.webp,ok,3,0.350222836429603,0.9826136788511507,0.01656583696603775,0.09026521195967992,0.0,0.058689760665098824,0.0,1.0,0.350222836429603,0.0,1.0,0.668683260679245,0.8256484697651978,3,0.6130345280159978,0.4204561710357666,-0.0442952923476696,0.0,1.0,0.0,0.998520016670227,0.4054300132211361,ok,1.0,1.0,0.6328263961836699,0.9323522665699524,0.9401529010505986,0.8830831455120962,0.8684968837168143
