egocentric_relative_path,file_name_ego,file_ext_ego,file_size_bytes_ego,checksum_sha256_ego,image_width_ego,image_height_ego,egocentric_stream_id,view_type_ego,egocentric_participant_id,day_or_session_id_ego,read_status_ego,integrity_status_ego,day_id,timestamp_id,exocentric_relative_path,file_name_exo,file_ext_exo,file_size_bytes_exo,checksum_sha256_exo,image_width_exo,image_height_exo,exocentric_stream_id,view_type_exo,participant_id,day_or_session_id_exo,read_status_exo,integrity_status_exo,pair_id,ego_face_count_seed,exo_face_count_seed,ego_face_count,exo_face_count,evaluated,skip_reason,original_max_cross_view_cosine,blur_max_cross_view_cosine,pixelate_max_cross_view_cosine,control_original_max_cross_view_cosine,control_blur_max_cross_view_cosine,control_pixelate_max_cross_view_cosine,original_gap_vs_control,blur_gap_vs_control,pixelate_gap_vs_control
day1/members/luca/14_0131.webp,14_0131.webp,webp,187636,c6dc7b9627f382d9f2bbca687a5e1f934527362803adc21043ca2930571ec7f1,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,14_0131,day1/fixed/living1/14_0131.webp,14_0131.webp,webp,350906,02b4d0d0e279934c2c42eb2e548fee1e63fde7efd51d29c97c6c399d99f8868d,3840,2160,living1,exocentric,,day1,ok,valid,day1::14_0131::luca::living1,2,1,2,1,True,,0.15311290323734283,0.28705185651779175,0.2981693744659424,0.13684715330600739,0.5021070241928101,0.32746419310569763,0.01626574993133545,-0.2150551676750183,-0.02929481863975525
day1/members/cathal/14_0591.webp,14_0591.webp,webp,121278,f82abfc9e299cf4d7fb7b92774c6368c4c06a82b3785906caf68c46957996b34,3840,2160,cathal,egocentric,cathal,day1,ok,valid,day1,14_0591,day1/fixed/living1/14_0591.webp,14_0591.webp,webp,336980,6b3134d2d2c0ca760d56e19798c06d82451b3f56c5cacb0fe33f2cd104ceae6d,3840,2160,living1,exocentric,,day1,ok,valid,day1::14_0591::cathal::living1,1,1,1,1,True,,0.0866939127445221,0.1643924117088318,0.09363645315170288,0.13684715330600739,0.5021070241928101,0.32746419310569763,-0.05015324056148529,-0.33771461248397827,-0.23382773995399475
day1/members/cathal/15_0689.webp,15_0689.webp,webp,153780,bef02e7869087fee2bca36a1f0a677c50710e35cd934d21b78467249fefa9e7b,3840,2160,cathal,egocentric,cathal,day1,ok,valid,day1,15_0689,day1/fixed/living1/15_0689.webp,15_0689.webp,webp,275022,e23ad06defb744f6edb5540b97352c89ec0ee97449805b1ea07385fa754e29f7,3840,2160,living1,exocentric,,day1,ok,valid,day1::15_0689::cathal::living1,1,1,1,1,True,,0.2224324345588684,0.2008826583623886,0.2978008985519409,0.13684715330600739,0.5021070241928101,0.32746419310569763,0.08558528125286102,-0.30122436583042145,-0.029663294553756714
day1/members/klaus/17_0055.webp,17_0055.webp,webp,121510,9a9efb16da8949d0d8df75b8ba207b5064647de1187b811e7a4d70255f575e0a,3840,2160,klaus,egocentric,klaus,day1,ok,valid,day1,17_0055,day1/fixed/living1/17_0055.webp,17_0055.webp,webp,269698,030768f4ba67644497c3ca7e10b8ece7fa0fb9f0e95762eb93c887860a79432b,3840,2160,living1,exocentric,,day1,ok,valid,day1::17_0055::klaus::living1,1,1,1,1,True,,0.4346056878566742,0.08906535804271698,0.4099022448062897,0.13684715330600739,0.5021070241928101,0.32746419310569763,0.2977585345506668,-0.4130416661500931,0.08243805170059204
day1/members/onanong/18_0713.webp,18_0713.webp,webp,88920,a3cc4aa0bb41eae3c1a2fb12089474e3d0b85f93f39b5380fd53cd92ff88962f,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,18_0713,day1/fixed/living1/18_0713.webp,18_0713.webp,webp,246642,ae391297048408f8baf81aa71e09fd2848fbe79e0803a43ed681af2246bc28a4,3840,2160,living1,exocentric,,day1,ok,valid,day1::18_0713::onanong::living1,3,2,3,2,True,,0.3334590494632721,0.36953383684158325,0.4025592803955078,0.13684715330600739,0.5021070241928101,0.32746419310569763,0.1966118961572647,-0.1325731873512268,0.07509508728981018
day1/members/allie/19_0432.webp,19_0432.webp,webp,293162,fbb00c663b85cc40b10ee5e99ab5581e1ffc5550c7dbcbde6347c18ce65828a8,3840,2160,allie,egocentric,allie,day1,ok,valid,day1,19_0432,day1/fixed/living1/19_0432.webp,19_0432.webp,webp,251924,22448d6e26e06dc00d2eea8d6e47cb632920ccd8a7e182576a1184e0718b62e7,3840,2160,living1,exocentric,,day1,ok,valid,day1::19_0432::allie::living1,1,1,1,1,True,,0.13654226064682007,0.20606888830661774,0.18387842178344727,0.13684715330600739,0.5021070241928101,0.32746419310569763,-0.0003048926591873169,-0.2960381358861923,-0.14358577132225037
day1/members/allie/09_0610.webp,09_0610.webp,webp,245318,2f4f3be8d9fbb4ce6cfc479e5df814d0e62bda1158f3c0254ce2a40acbac1b1d,3840,2160,allie,egocentric,allie,day1,ok,valid,day1,09_0610,day1/fixed/living2/09_0610.webp,09_0610.webp,webp,355200,9380e7d012cbc4894371f9af99f41a61441d298fe4616abdcc3678c4334d015e,3840,2160,living2,exocentric,,day1,ok,valid,day1::09_0610::allie::living2,1,2,1,2,True,,0.37505078315734863,0.3679085075855255,0.34957730770111084,0.5066927075386047,0.2248348891735077,0.43264061212539673,-0.1316419243812561,0.14307361841201782,-0.08306330442428589
day1/members/onanong/11_0393.webp,11_0393.webp,webp,308918,da4f68fbbe2c814a9ddebb05558afde11634c3f670a7663e5f7c7e50ada6dfde,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,11_0393,day1/fixed/living2/11_0393.webp,11_0393.webp,webp,386046,147c15d583b6a403467b2eb2447caee620908ea3e57717114282e90061aa3ec1,3840,2160,living2,exocentric,,day1,ok,valid,day1::11_0393::onanong::living2,1,2,1,2,True,,0.5066927075386047,0.2248348891735077,0.43264061212539673,0.37505078315734863,0.3679085075855255,0.34957730770111084,0.1316419243812561,-0.14307361841201782,0.08306330442428589
day1/members/onanong/13_0028.webp,13_0028.webp,webp,204992,59048feb9174cfd27a07897603e68d62cf0162aee3de832b411ed685a6b1f50f,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,13_0028,day1/fixed/living2/13_0028.webp,13_0028.webp,webp,415274,fd4b66212b4e8015c446c5c64cde7c6007dd1c70bb671ffb7ca00e8ac127f43f,3840,2160,living2,exocentric,,day1,ok,valid,day1::13_0028::onanong::living2,1,3,1,3,True,,0.4970752000808716,0.2303670048713684,0.4113005995750427,0.37505078315734863,0.3679085075855255,0.34957730770111084,0.12202441692352295,-0.1375415027141571,0.061723291873931885
day1/members/florian/14_0013.webp,14_0013.webp,webp,269860,b31a13a1dee4c035ca56a298f1bc69e35979e85f35b105ea516fa087d48555b6,3840,2160,florian,egocentric,florian,day1,ok,valid,day1,14_0013,day1/fixed/living2/14_0013.webp,14_0013.webp,webp,374152,a7dab3bfa72992702f5160cfc359688beea4f796828d996e31981f9611d548ee,3840,2160,living2,exocentric,,day1,ok,valid,day1::14_0013::florian::living2,5,5,5,5,True,,0.4758504629135132,0.2718471586704254,0.384418249130249,0.37505078315734863,0.3679085075855255,0.34957730770111084,0.10079967975616455,-0.0960613489151001,0.034840941429138184
