protocol,subgroup,image_count,ground_truth_boxes,best_model,best_oapr_detector_score,second_model,second_oapr_detector_score,margin_vs_second,best_f1,best_precision,best_recall,best_true_positives,best_false_positives,best_false_negatives
02_egocentric_stress_500,profile_or_occluded_face,206,862,fusion_yolo11s_scrfd10g_agreement,0.9313456055105983,fusion_yolo11s1280_scrfd10g_agreement,0.9288035277457141,0.002542077764884243,0.9224629418472063,0.9069506726457399,0.9385150812064965,809,83,53
02_egocentric_stress_500,single_face,78,78,scrfd_10g_current_640,0.8433202939781889,fusion_yolo8s_scrfd10g_agreement,0.8262827768345595,0.017037517143629333,0.855263157894737,0.8783783783783784,0.8333333333333334,65,9,13
02_egocentric_stress_500,small_face,119,407,scrfd_10g_current_640,0.9332778375789128,fusion_yolo11s_scrfd10g_agreement,0.9273206859335994,0.005957151645313408,0.9358024691358025,0.9404466501240695,0.9312039312039312,379,24,28
02_egocentric_stress_500,very_small_or_distant_face,12,16,yolo8s_widerface_repo_640,0.986541889483066,scrfd_10g_current_640,0.9020833333333332,0.08445855614973274,0.9696969696969697,0.9411764705882353,1.0,16,1,0
combined_1000,all_images,1000,2607,fusion_yolo11s1280_scrfd10g_agreement,0.9072130456481095,fusion_yolo11s_scrfd10g_agreement,0.9055293999907572,0.0016836456573522396,0.9001512859304084,0.8877284595300261,0.9129267357115458,2380,301,227
combined_1000,downward_egocentric_view,242,698,fusion_yolo11s1280_scrfd10g_agreement,0.8917664048626552,fusion_yolo11s_scrfd10g_agreement,0.8898229666692689,0.001943438193386382,0.8977519941986946,0.908957415565345,0.8868194842406877,619,62,79
combined_1000,edge_or_partial_face,376,1585,fusion_yolo11s1280_scrfd10g_agreement,0.9062653065575663,fusion_yolo11s_scrfd10g_agreement,0.9058181320238498,0.00044717453371656557,0.9073664242807461,0.9093789607097592,0.9053627760252366,1435,143,150
combined_1000,high_clutter,360,1131,fusion_yolo11s1280_scrfd10g_agreement,0.9297736953399797,fusion_yolo11s_scrfd10g_agreement,0.9263157439293932,0.0034579514105864684,0.9205384281372123,0.9044368600682594,0.9372236958443855,1060,112,71
combined_1000,large_face,42,75,yolo11n_pose_widerface_640,0.8434036270983214,yolo11s_widerface_640,0.8374029658284977,0.006000661269823682,0.8776978417266187,0.953125,0.8133333333333334,61,3,14
combined_1000,low_light_or_dim,199,469,yolo11n_pose_widerface_640,0.8831554472375283,fusion_yolo11s1280_scrfd10g_agreement,0.8782321661115787,0.00492328112594953,0.8862660944206008,0.8920086393088553,0.8805970149253731,413,50,56
combined_1000,medium_face,223,719,fusion_yolo11s_scrfd10g_agreement,0.9305608915577139,fusion_yolo8s_yolo11s_scrfd10g_agreement,0.927233046933476,0.0033278446242379633,0.9238160603980783,0.9119241192411924,0.9360222531293463,673,65,46
combined_1000,mixed_scale_face,171,923,fusion_yolo11s1280_scrfd10g_agreement,0.8900992059945647,dsfd_1920,0.8898043232775191,0.0002948827170455859,0.8999447208402431,0.9187358916478555,0.8819068255687974,814,72,109
combined_1000,motion_blur_or_low_sharpness,194,335,yolo8s_widerface_repo_640,0.822952595458984,fusion_yolo11s_scrfd10g_agreement,0.822952595458984,0.0,0.8290468986384266,0.8404907975460123,0.817910447761194,274,52,61
combined_1000,multi_face,556,2446,fusion_yolo11s1280_scrfd10g_agreement,0.9199029153851542,fusion_yolo11s_scrfd10g_agreement,0.9168516977097366,0.0030512176754176057,0.9179393198941153,0.9144016227180527,0.9215044971381848,2254,211,192
combined_1000,no_face,283,0,scrfd_10g_current_640,0.9681978798586572,yolo11s_widerface_640,0.9045936395759717,0.06360424028268552,0.0,0.0,0.0,0,12,0
combined_1000,outdoor_or_vehicle_scene,23,13,yolo8s_lindevs_640,0.9835978835978837,yolo8s_lindevs_1280,0.9835978835978837,0.0,0.962962962962963,0.9285714285714286,1.0,13,1,0
combined_1000,profile_or_occluded_face,206,862,fusion_yolo11s_scrfd10g_agreement,0.9313456055105983,fusion_yolo11s1280_scrfd10g_agreement,0.9288035277457141,0.002542077764884243,0.9224629418472063,0.9069506726457399,0.9385150812064965,809,83,53
combined_1000,single_face,161,161,yolo8s_widerface_repo_640,0.782378384421885,fusion_yolo11s_scrfd10g_agreement,0.77937107431275,0.0030073101091350196,0.7743902439024389,0.7604790419161677,0.7888198757763976,127,40,34
combined_1000,small_face,229,793,fusion_yolo11s1280_scrfd10g_agreement,0.9319604507665646,fusion_yolo11s_scrfd10g_agreement,0.9276863704558637,0.004274080310700978,0.9146341463414634,0.885478158205431,0.9457755359394704,750,97,43
combined_1000,very_small_or_distant_face,52,97,fusion_yolo11s1280_scrfd10g_agreement,0.8729113157448286,yolo11s_widerface_1280,0.8703236694751164,0.002587646269712196,0.8557213930348259,0.8269230769230769,0.8865979381443299,86,18,11
