pair_id,egocentric_relative_path,exocentric_relative_path,failure_category,skip_reason,note
day1::11_0498::bjorn::reading,day1/members/bjorn/11_0498.webp,day1/fixed/reading/11_0498.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::11_0508::tien::reading,day1/members/tien/11_0508.webp,day1/fixed/reading/11_0508.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::12_0025::allie::reading,day1/members/allie/12_0025.webp,day1/fixed/reading/12_0025.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day1::14_0135::bjorn::reading,day1/members/bjorn/14_0135.webp,day1/fixed/reading/14_0135.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::10_0716::onanong::kitchen,day2/members/onanong/10_0716.webp,day2/fixed/kitchen/10_0716.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::14_0186::onanong::kitchen,day2/members/onanong/14_0186.webp,day2/fixed/kitchen/14_0186.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::15_0553::luca::kitchen,day2/members/luca/15_0553.webp,day2/fixed/kitchen/15_0553.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::15_0571::florian::kitchen,day2/members/florian/15_0571.webp,day2/fixed/kitchen/15_0571.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::16_0288::bjorn::kitchen,day2/members/bjorn/16_0288.webp,day2/fixed/kitchen/16_0288.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::17_0001::onanong::kitchen,day2/members/onanong/17_0001.webp,day2/fixed/kitchen/17_0001.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::17_0087::florian::kitchen,day2/members/florian/17_0087.webp,day2/fixed/kitchen/17_0087.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::20_0127::tien::kitchen,day2/members/tien/20_0127.webp,day2/fixed/kitchen/20_0127.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::08_0547::luca::living1,day2/members/luca/08_0547.webp,day2/fixed/living1/08_0547.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::12_0331::klaus::living1,day2/members/klaus/12_0331.webp,day2/fixed/living1/12_0331.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::17_0049::cathal::living1,day2/members/cathal/17_0049.webp,day2/fixed/living1/17_0049.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::15_0083::allie::living2,day2/members/allie/15_0083.webp,day2/fixed/living2/15_0083.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::15_0333::werner::living2,day2/members/werner/15_0333.webp,day2/fixed/living2/15_0333.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::16_0562::florian::living2,day2/members/florian/16_0562.webp,day2/fixed/living2/16_0562.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
day2::17_0047::luca::living2,day2/members/luca/17_0047.webp,day2/fixed/living2/17_0047.webp,detector_miss,missing_detected_faces,Failure example drawn from broad cross-view candidate pack.
