relative_path,method,objective_mode,SSIM,LPIPS
day1/members/allie/10_0099.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9915471386115379,0.005724852904677391
day4/members/bao/08_0028.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day1/members/bjorn/18_0340.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day1/members/luca/15_0236.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.989231147387747,0.011584464460611343
day2/members/florian/19_0363.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day1/members/werner/18_0484.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9867283419194166,0.012941460125148296
day4/members/allie/08_0040.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9857628828902909,0.02532309480011463
day2/members/klaus/12_0264.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day1/members/florian/08_0717.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9840149121849261,0.019490385428071022
day2/members/allie/13_0355.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day1/members/bjorn/15_0004.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.991379713886324,0.007048049941658974
day2/members/klaus/10_0629.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9886940230914373,0.008846031501889229
day1/members/luca/08_0069.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day4/members/werner/08_0337.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9921255812550623,0.005941009148955345
day2/members/werner/17_0115.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9941151869420403,0.00417464692145586
day3/members/klaus/12_0484.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,1.0,0.0
day4/members/stevan/13_0149.webp,oapr_compute_profile_adaptive,compute_profile_adaptive,0.9903510346943132,0.008969618938863277
