method,fold,threshold,train_clusters,test_clusters,positive_train_rate,positive_test_rate,train_oapr_detector_score,variant_set,classifier,cluster_iou
error_hardened_rfdetr_clean_rf_iou0_6,2,0.52,2643,661,0.76277,0.797277,0.934715,rfdetr_clean,rf,0.6
error_hardened_rfdetr_clean_rf_iou0_6,3,0.49,2643,661,0.776769,0.741301,0.935167,rfdetr_clean,rf,0.6
error_hardened_rfdetr_clean_rf_iou0_6,4,0.54,2643,661,0.768445,0.774584,0.931307,rfdetr_clean,rf,0.6
error_hardened_rfdetr_clean_rf_iou0_6,5,0.53,2644,660,0.767398,0.778788,0.933718,rfdetr_clean,rf,0.6
error_hardened_rfdetr_clean_extra_iou0_6,1,0.63,2643,661,0.772985,0.75643,0.943699,rfdetr_clean,extra,0.6
error_hardened_rfdetr_clean_extra_iou0_6,2,0.62,2643,661,0.76277,0.797277,0.941464,rfdetr_clean,extra,0.6
error_hardened_rfdetr_clean_extra_iou0_6,3,0.61,2643,661,0.776769,0.741301,0.944706,rfdetr_clean,extra,0.6
error_hardened_rfdetr_clean_extra_iou0_6,4,0.6,2643,661,0.768445,0.774584,0.940811,rfdetr_clean,extra,0.6
error_hardened_rfdetr_clean_extra_iou0_6,5,0.62,2644,660,0.767398,0.778788,0.94189,rfdetr_clean,extra,0.6
error_hardened_rfdetr_clean_histgb_iou0_6,1,0.43,2643,661,0.772985,0.75643,0.946259,rfdetr_clean,histgb,0.6
error_hardened_rfdetr_clean_histgb_iou0_6,2,0.4,2643,661,0.76277,0.797277,0.945165,rfdetr_clean,histgb,0.6
error_hardened_rfdetr_clean_histgb_iou0_6,3,0.46,2643,661,0.776769,0.741301,0.947531,rfdetr_clean,histgb,0.6
error_hardened_rfdetr_clean_histgb_iou0_6,4,0.37,2643,661,0.768445,0.774584,0.943822,rfdetr_clean,histgb,0.6
error_hardened_rfdetr_clean_histgb_iou0_6,5,0.38,2644,660,0.767398,0.778788,0.946117,rfdetr_clean,histgb,0.6
error_hardened_all_raw_logreg_iou0_45,1,0.33,3480,870,0.568391,0.568966,0.920133,all_raw,logreg,0.45
error_hardened_all_raw_logreg_iou0_45,2,0.45,3480,870,0.565805,0.57931,0.919282,all_raw,logreg,0.45
error_hardened_all_raw_logreg_iou0_45,3,0.32,3480,870,0.571552,0.556322,0.927077,all_raw,logreg,0.45
error_hardened_all_raw_logreg_iou0_45,4,0.39,3480,870,0.565805,0.57931,0.919735,all_raw,logreg,0.45
error_hardened_all_raw_logreg_iou0_45,5,0.48,3480,870,0.570977,0.558621,0.925403,all_raw,logreg,0.45
error_hardened_all_raw_rf_iou0_45,1,0.37,3480,870,0.568391,0.568966,0.940535,all_raw,rf,0.45
error_hardened_all_raw_rf_iou0_45,2,0.35,3480,870,0.565805,0.57931,0.939084,all_raw,rf,0.45
error_hardened_all_raw_rf_iou0_45,3,0.41,3480,870,0.571552,0.556322,0.944842,all_raw,rf,0.45
error_hardened_all_raw_rf_iou0_45,4,0.43,3480,870,0.565805,0.57931,0.938179,all_raw,rf,0.45
error_hardened_all_raw_rf_iou0_45,5,0.31,3480,870,0.570977,0.558621,0.940992,all_raw,rf,0.45
error_hardened_all_raw_extra_iou0_45,1,0.52,3480,870,0.568391,0.568966,0.945765,all_raw,extra,0.45
error_hardened_all_raw_extra_iou0_45,2,0.54,3480,870,0.565805,0.57931,0.945767,all_raw,extra,0.45
error_hardened_all_raw_extra_iou0_45,3,0.49,3480,870,0.571552,0.556322,0.949317,all_raw,extra,0.45
error_hardened_all_raw_extra_iou0_45,4,0.52,3480,870,0.565805,0.57931,0.944578,all_raw,extra,0.45
error_hardened_all_raw_extra_iou0_45,5,0.53,3480,870,0.570977,0.558621,0.947077,all_raw,extra,0.45
error_hardened_all_raw_histgb_iou0_45,1,0.44,3480,870,0.568391,0.568966,0.952468,all_raw,histgb,0.45
error_hardened_all_raw_histgb_iou0_45,2,0.42,3480,870,0.565805,0.57931,0.952392,all_raw,histgb,0.45
error_hardened_all_raw_histgb_iou0_45,3,0.42,3480,870,0.571552,0.556322,0.954818,all_raw,histgb,0.45
