model,variant_set,classifier,cluster_iou,protocol,subgroup,image_count,ground_truth_boxes,prediction_boxes,ap,precision,recall,f1,true_positives,false_positives,false_negatives,zero_face_false_positive_images,zero_face_specificity,oapr_detector_score,cluster_count,prediction_count
error_hardened_all_raw_extra_iou0_6,all_raw,extra,0.6,combined_1000,all_images,1000,2607,2543,0.8955611886001146,0.9229256783326779,0.9002685078634446,0.9114563106796116,2347,196,260,0,,0.9053311756144097,4677,2543
error_hardened_all_raw_histgb_iou0_6,all_raw,histgb,0.6,combined_1000,all_images,1000,2607,2609,0.8952662069931455,0.9011115369873515,0.9018028385116993,0.9014570552147239,2351,258,256,0,,0.9016472625350207,4677,2609
error_hardened_raw_plus_fusions_logreg_iou0_45,raw_plus_fusions,logreg,0.45,combined_1000,all_images,1000,2607,2633,0.9110104626626029,0.9073300417774401,0.9163789796701189,0.9118320610687023,2389,244,218,0,,0.914337356230497,4341,2633
error_hardened_raw_plus_fusions_rf_iou0_45,raw_plus_fusions,rf,0.45,combined_1000,all_images,1000,2607,2538,0.904631783962874,0.933806146572104,0.9090909090909091,0.9212827988338192,2370,168,237,0,,0.9146104052747561,4341,2538
error_hardened_raw_plus_fusions_extra_iou0_45,raw_plus_fusions,extra,0.45,combined_1000,all_images,1000,2607,2435,0.88791327023471,0.9540041067761807,0.8910625239739164,0.9214597381991274,2323,112,284,0,,0.9049559858104457,4341,2435
error_hardened_raw_plus_fusions_histgb_iou0_45,raw_plus_fusions,histgb,0.45,combined_1000,all_images,1000,2607,2460,0.8924930662636532,0.9504065040650407,0.8968162639048715,0.9228340240773634,2338,122,269,0,,0.9086797279640114,4341,2460
error_hardened_raw_plus_fusions_logreg_iou0_5,raw_plus_fusions,logreg,0.5,combined_1000,all_images,1000,2607,2619,0.9093961741312545,0.9110347460862924,0.9152282316839279,0.9131266743207042,2386,233,221,0,,0.9142834937833584,4450,2619
error_hardened_raw_plus_fusions_rf_iou0_5,raw_plus_fusions,rf,0.5,combined_1000,all_images,1000,2607,2543,0.9052322724248641,0.9335430593786866,0.9106252397391638,0.9219417475728156,2374,169,233,0,,0.915746148661529,4450,2543
error_hardened_raw_plus_fusions_extra_iou0_5,raw_plus_fusions,extra,0.5,combined_1000,all_images,1000,2607,2458,0.8939397765575422,0.951993490642799,0.8975834292289988,0.9239881539980257,2340,118,267,0,,0.9096256165626355,4450,2458
error_hardened_raw_plus_fusions_histgb_iou0_5,raw_plus_fusions,histgb,0.5,combined_1000,all_images,1000,2607,2480,0.8952771657820059,0.9455645161290323,0.8995013425393172,0.9219579319834873,2345,135,262,0,,0.9097218072593313,4450,2480
error_hardened_raw_plus_fusions_logreg_iou0_6,raw_plus_fusions,logreg,0.6,combined_1000,all_images,1000,2607,2631,0.900253330846475,0.8992778411250475,0.9075565784426544,0.9033982436044292,2366,265,241,0,,0.9056891210013375,4632,2631
error_hardened_raw_plus_fusions_rf_iou0_6,raw_plus_fusions,rf,0.6,combined_1000,all_images,1000,2607,2601,0.9018306048057737,0.9092656670511342,0.9071729957805907,0.9082181259600616,2365,236,242,0,,0.9076435454525129,4632,2601
error_hardened_raw_plus_fusions_extra_iou0_6,raw_plus_fusions,extra,0.6,combined_1000,all_images,1000,2607,2514,0.8935355795666868,0.9311853619729514,0.8979670118910625,0.9142745557508298,2341,173,266,0,,0.9053657328641932,4632,2514
error_hardened_raw_plus_fusions_histgb_iou0_6,raw_plus_fusions,histgb,0.6,combined_1000,all_images,1000,2607,2565,0.895718741267176,0.9157894736842105,0.9010356731875719,0.9083526682134571,2349,216,258,0,,0.9043403019937072,4632,2565
