relative_path,policy,selected_method,score,privacy,utility,selection_reason
day1/members/allie/14_0135.webp,privacy_verifying_cascade,diffusion_low_step,0.8256661628726636,1.0,0.609618392151855,first_candidate_passing_privacy_and_quality
day1/members/allie/10_0099.webp,privacy_verifying_cascade,blur,0.8775491044413752,1.0,0.6246674568277361,first_candidate_passing_privacy_and_quality
day4/members/bao/08_0028.webp,privacy_verifying_cascade,no_action_copy,1.0,1.0,1.0,verified_no_face
day1/members/bjorn/18_0340.webp,privacy_verifying_cascade,no_action_copy,1.0,1.0,1.0,verified_no_face
day1/members/luca/15_0236.webp,privacy_verifying_cascade,blur,0.8808401089526608,1.0,0.6322962052294169,first_candidate_passing_privacy_and_quality
day2/members/florian/19_0363.webp,privacy_verifying_cascade,no_action_copy,1.0,1.0,1.0,verified_no_face
day1/members/werner/18_0484.webp,privacy_verifying_cascade,layered_blur_downscale_noise,0.8634456472843974,1.0,0.5735245748806572,first_candidate_passing_privacy_and_quality
day4/members/allie/08_0040.webp,privacy_verifying_cascade,diffusion_low_step,0.8602756816432842,1.0,0.5984923510354746,first_candidate_passing_privacy_and_quality
day2/members/klaus/12_0264.webp,privacy_verifying_cascade,no_action_copy,1.0,1.0,1.0,verified_no_face
day1/members/florian/08_0717.webp,privacy_verifying_cascade,diffusion_low_step,0.8211294534953972,1.0,0.6049727890608333,first_candidate_passing_privacy_and_quality
day2/members/allie/13_0355.webp,privacy_verifying_cascade,solid_mask_black,0.4289603773219259,0.0,0.7922607191543075,terminal_solid_mask_fallback
day1/members/bjorn/15_0004.webp,privacy_verifying_cascade,solid_mask_black,0.8080888203814631,0.9333333333333332,0.4994357220130766,terminal_solid_mask_fallback
day2/members/klaus/10_0629.webp,privacy_verifying_cascade,pixelate,0.8735012825994882,1.0,0.6136523748849296,first_candidate_passing_privacy_and_quality
day1/members/luca/08_0069.webp,privacy_verifying_cascade,no_action_copy,1.0,1.0,1.0,verified_no_face
day4/members/werner/08_0337.webp,privacy_verifying_cascade,blur,0.8760692376912672,1.0,0.617177161162604,first_candidate_passing_privacy_and_quality
day2/members/werner/17_0115.webp,privacy_verifying_cascade,pixelate,0.8774855013458885,1.0,0.6258022483689151,first_candidate_passing_privacy_and_quality
day3/members/klaus/12_0484.webp,privacy_verifying_cascade,no_action_copy,1.0,1.0,1.0,verified_no_face
day4/members/stevan/13_0149.webp,privacy_verifying_cascade,layered_blur_downscale_noise,0.8725929070180987,1.0,0.6011500641198142,first_candidate_passing_privacy_and_quality
day1/members/luca/08_0716.webp,privacy_verifying_cascade,blur,0.8881121181367324,1.0,0.660115101010012,first_candidate_passing_privacy_and_quality
day1/members/cathal/08_0346.webp,privacy_verifying_cascade,pixelate,0.986957776645184,1.0,0.987336714509114,first_candidate_passing_privacy_and_quality
day4/members/florian/10_0112.webp,privacy_verifying_cascade,blur,0.8872327851693279,1.0,0.6574316023315367,first_candidate_passing_privacy_and_quality
day1/members/florian/13_0133.webp,privacy_verifying_cascade,blur,0.8956975206535612,1.0,0.6855100107932817,first_candidate_passing_privacy_and_quality
day2/members/tien/19_0311.webp,privacy_verifying_cascade,solid_mask_black,0.8093339091534055,1.0,0.3889859434707838,terminal_solid_mask_fallback
day3/members/werner/08_0688.webp,privacy_verifying_cascade,blur,0.8853584724800281,1.0,0.6492396695216379,first_candidate_passing_privacy_and_quality
day3/members/onanong/11_0042.webp,privacy_verifying_cascade,diffusion_low_step,0.8281388071497587,1.0,0.5546654961691537,first_candidate_passing_privacy_and_quality
day3/members/luca/18_0573.webp,privacy_verifying_cascade,blur,0.8748518342749263,1.0,0.6101438661117223,first_candidate_passing_privacy_and_quality
day3/members/allie/17_0205.webp,privacy_verifying_cascade,layered_blur_downscale_noise,0.8730599697977676,1.0,0.6018614039961878,first_candidate_passing_privacy_and_quality
day3/members/bjorn/18_0629.webp,privacy_verifying_cascade,solid_mask_black,0.7774805637605446,1.0,0.2841820330601865,terminal_solid_mask_fallback
day3/members/florian/19_0349.webp,privacy_verifying_cascade,no_action_copy,1.0,1.0,1.0,verified_no_face
day3/members/cathal/11_0509.webp,privacy_verifying_cascade,no_action_copy,1.0,1.0,1.0,verified_no_face
