fold,relative_path,policy_category,selected_method,selection_source,score,privacy,utility
1,day3/members/klaus/12_0484.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day3/members/klaus/13_0098.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day3/members/klaus/15_0375.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day3/members/klaus/17_0530.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day3/members/klaus/18_0283.webp,medium_face,blur,train_fold_category,0.8593218949149916,1.0,0.5646490034712817
1,day3/members/klaus/18_0613.webp,small_face,blur,train_fold_category,0.8706059418563831,1.0,0.6026337224769621
1,day3/members/klaus/19_0688.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day3/members/klaus/19_0704.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8781830958027534,1.0,0.6168430878559978
1,day3/members/klaus/20_0128.webp,motion_blur_or_low_sharpness,layered_blur_downscale_noise,train_fold_category,0.871978571904665,1.0,0.5976026205484335
1,day3/members/werner/08_0498.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8773692289507081,1.0,0.6178479884426282
1,day3/members/werner/08_0594.webp,small_face,blur,train_fold_category,0.8182755944584269,0.8333333333333334,0.7031871647887379
1,day3/members/werner/08_0619.webp,medium_face,blur,train_fold_category,0.8762455800476738,1.0,0.6212860808524114
1,day3/members/werner/08_0688.webp,small_face,blur,train_fold_category,0.8853584724800281,1.0,0.6492396695216379
1,day3/members/werner/10_0468.webp,small_face,blur,train_fold_category,0.8802951371328613,1.0,0.6350576535979826
1,day3/members/werner/10_0493.webp,small_face,blur,train_fold_category,0.8795795811181453,1.0,0.6286290934217621
1,day3/members/werner/12_0583.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day3/members/werner/16_0328.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8771455358517302,1.0,0.6176358729524616
1,day3/members/werner/17_0005.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8687205532537031,1.0,0.5882722280868162
1,day3/members/werner/17_0301.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8642339907142305,1.0,0.5752076756199604
1,day3/members/werner/19_0360.webp,motion_blur_or_low_sharpness,layered_blur_downscale_noise,train_fold_category,0.9839777334061603,1.0,0.9700129709771586
1,day3/members/werner/20_0141.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.7554219166940855,0.6666666666666667,0.7640516914560819
1,day4/members/klaus/08_0554.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day4/members/klaus/09_0320.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8739136098416035,1.0,0.6052121315142907
1,day4/members/klaus/11_0401.webp,medium_face,blur,train_fold_category,0.8869043267812364,1.0,0.6544592419267408
1,day4/members/klaus/12_0118.webp,medium_face,blur,train_fold_category,0.8663350844946431,0.9523809523809524,0.6642655132263967
1,day4/members/klaus/12_0644.webp,medium_face,blur,train_fold_category,0.8415809939388302,0.9583333333333334,0.574786740825649
1,day4/members/klaus/13_0393.webp,small_face,blur,train_fold_category,0.8602809573930995,1.0,0.5679015081929804
1,day4/members/klaus/13_0503.webp,medium_face,blur,train_fold_category,0.8680737552813218,1.0,0.595250397292092
1,day4/members/klaus/14_0224.webp,medium_face,blur,train_fold_category,0.8209361506546394,0.9259259259259259,0.5611909510880263
1,day4/members/klaus/14_0702.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day4/members/werner/08_0208.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8757674995892143,1.0,0.6126021794211001
1,day4/members/werner/08_0337.webp,small_face,blur,train_fold_category,0.8760692376912672,1.0,0.617177161162604
1,day4/members/werner/09_0017.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day4/members/werner/10_0441.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day4/members/werner/11_0358.webp,medium_face,blur,train_fold_category,0.853085097256406,0.9444444444444444,0.6322149067726979
1,day4/members/werner/12_0528.webp,small_face,blur,train_fold_category,0.8761491794711241,1.0,0.6180919589441825
1,day4/members/werner/13_0537.webp,small_face,blur,train_fold_category,0.8687824179659832,1.0,0.5939061861402619
