relative_path,method,face_crop_count,crop_ssim_mean,crop_lpips_mean,facenet_cosine_mean,facenet_reid_rate_050,facenet_reid_rate_060,facenet_reid_rate_070,landmark_pair_rate,landmark_error_mean,landmark_geometry_score,background_preservation_score,face_region_utility_score,metric_status
day3/members/stevan/20_0682.webp,blur,6,0.89553438824958,0.2646329700946808,0.27385517954826355,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.7391976679997201,0.0,0.9993180632591248,0.481120543389432,ok
day3/members/stevan/20_0682.webp,pixelate,6,0.8717056686058139,0.4213344156742096,0.4538614749908447,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.4185611064314545,0.0,0.9993153214454651,0.4006267928611311,ok
day3/members/stevan/20_0682.webp,solid_mask_black,6,0.10937299998002381,0.6893156170845032,0.1563466191291809,0.16666666666666666,0.16666666666666666,0.0,0.0,,0.0,0.9985460042953491,0.050975090426593976,ok
day3/members/stevan/20_0682.webp,layered_blur_downscale_noise,6,0.8102203219090115,0.4795572757720947,0.17474667727947235,0.0,0.0,0.0,0.3333333333333333,1.0915021621061636,0.0,0.9985637068748474,0.36319136750042175,ok
day3/members/stevan/20_0682.webp,nullface,6,0.7928769765040116,0.3238784372806549,0.013402034528553486,0.16666666666666666,0.0,0.0,0.6666666666666666,0.8695734205003125,0.0,0.9928733706474304,0.46556771568549593,ok
day3/members/stevan/20_0682.webp,diffusion_low_step,6,0.7079719537191028,0.3960699141025543,0.2247498631477356,0.16666666666666666,0.0,0.0,0.6666666666666666,0.6233201278488681,0.0,0.9985142946243286,0.42059289880517636,ok
day3/members/stevan/20_0682.webp,reverse_personalization,6,0.8218938719447699,0.27181708812713623,-0.055519673973321915,0.0,0.0,0.0,1.0,0.7272926192569598,0.0,0.9982308745384216,0.5517543111171014,ok
day1/members/luca/12_0078.webp,blur,0,,,,,,,,,,0.9995323419570923,,no_face
day1/members/luca/12_0078.webp,pixelate,0,,,,,,,,,,0.9995323419570923,,no_face
day1/members/luca/12_0078.webp,solid_mask_black,0,,,,,,,,,,0.9989900588989258,,no_face
day1/members/luca/12_0078.webp,layered_blur_downscale_noise,0,,,,,,,,,,0.9989900588989258,,no_face
day1/members/luca/12_0078.webp,nullface,0,,,,,,,,,,0.9989900588989258,,no_face
day1/members/luca/12_0078.webp,diffusion_low_step,0,,,,,,,,,,0.9989900588989258,,no_face
day1/members/luca/12_0078.webp,reverse_personalization,0,,,,,,,,,,0.9989900588989258,,no_face
day3/members/tien/14_0649.webp,blur,7,0.8397244783126315,0.3769715130329132,0.264361172914505,0.14285714285714285,0.0,0.0,0.14285714285714285,0.2332392425440859,0.3336021641597545,0.9993492364883423,0.4658316103560271,ok
day3/members/tien/14_0649.webp,pixelate,7,0.8399389117753142,0.4091625213623047,0.4827597141265869,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.043266099218350715,0.8763825736618551,0.9993510842323303,0.5799215770095332,ok
