relative_path,policy,selected_method,score,privacy,utility,selection_reason
day3/members/tien/20_0434.webp,current_condition_policy,layered_blur_downscale_noise,0.8725478092491737,1.0,0.6010825041872359,existing_integrated_route
day3/members/tien/20_0434.webp,privacy_constrained_pareto,reverse_personalization,0.8528877740045644,1.0,0.8429592466816236,maximum_utility_after_privacy_quality_gates
day3/members/tien/20_0434.webp,privacy_verifying_cascade,layered_blur_downscale_noise,0.8725478092491737,1.0,0.6010825041872359,first_candidate_passing_privacy_and_quality
day4/members/werner/18_0362.webp,current_condition_policy,no_action_copy,1.0,1.0,1.0,verified_no_face
day4/members/werner/18_0362.webp,privacy_constrained_pareto,no_action_copy,1.0,1.0,1.0,verified_no_face
day4/members/werner/18_0362.webp,privacy_verifying_cascade,no_action_copy,1.0,1.0,1.0,verified_no_face
day1/members/cathal/12_0342.webp,current_condition_policy,layered_blur_downscale_noise,0.8494470020871749,1.0,0.5284617706458614,existing_integrated_route
day1/members/cathal/12_0342.webp,privacy_constrained_pareto,nullface,0.8177164551218655,1.0,0.7198174751365304,maximum_utility_after_privacy_quality_gates
day1/members/cathal/12_0342.webp,privacy_verifying_cascade,blur,0.8657836433039623,1.0,0.5855225050861399,first_candidate_passing_privacy_and_quality
day3/members/florian/19_0198.webp,current_condition_policy,solid_mask_black,0.6748136497904692,0.6666666666666667,0.49868309322334375,existing_integrated_route
day3/members/florian/19_0198.webp,privacy_constrained_pareto,reverse_personalization,0.828808979913086,1.0,0.7626965997100288,maximum_utility_after_privacy_quality_gates
day3/members/florian/19_0198.webp,privacy_verifying_cascade,diffusion_low_step,0.8435957331851364,1.0,0.567794024111275,first_candidate_passing_privacy_and_quality
day4/members/allie/18_0334.webp,current_condition_policy,solid_mask_black,0.7890683530386963,1.0,0.3218376045919388,existing_integrated_route
day4/members/allie/18_0334.webp,privacy_constrained_pareto,nullface,0.8152361770775414,1.0,0.7115498816554499,maximum_utility_after_privacy_quality_gates
day4/members/allie/18_0334.webp,privacy_verifying_cascade,nullface,0.8152361770775414,1.0,0.7115498816554499,first_candidate_passing_privacy_and_quality
day4/members/werner/09_0017.webp,current_condition_policy,no_action_copy,1.0,1.0,1.0,verified_no_face
