method,relative_path,non_sensitive_ssim
pixelate,day1/members/cathal/09_0001.webp,0.9990362967282639
pixelate,day1/members/luca/08_0225.webp,0.9992510477811766
pixelate,day1/members/allie/14_0135.webp,0.9991634320229176
pixelate,day1/members/allie/10_0099.webp,0.999019970170821
pixelate,day4/members/bao/08_0028.webp,0.9992391633740917
pixelate,day1/members/bjorn/18_0340.webp,0.9986638470331548
solid_mask_black,day3/members/stevan/20_0682.webp,0.996553932675934
solid_mask_black,day1/members/luca/12_0078.webp,0.9981699280475275
solid_mask_black,day3/members/tien/14_0649.webp,0.9949656055994666
solid_mask_black,day2/members/bjorn/16_0250.webp,0.998774522815372
solid_mask_black,day1/members/stevan/10_0179.webp,0.9972336376401677
solid_mask_black,day3/members/werner/08_0619.webp,0.9968171824479789
solid_mask_black,day3/members/tien/10_0512.webp,0.9978363008139334
solid_mask_black,day1/members/werner/14_0048.webp,0.997678525823574
solid_mask_black,day1/members/klaus/17_0206.webp,0.9965528028743363
solid_mask_black,day4/members/florian/11_0412.webp,0.9957867190334716
solid_mask_black,day1/members/allie/18_0412.webp,0.9948296043284809
solid_mask_black,day2/members/klaus/18_0601.webp,0.9965911702388247
solid_mask_black,day4/members/allie/12_0604.webp,0.995509817929204
solid_mask_black,day1/members/onanong/08_0572.webp,0.9969593507141311
solid_mask_black,day3/members/stevan/09_0286.webp,0.9972477554980067
solid_mask_black,day3/members/tien/20_0434.webp,0.9971954874132143
solid_mask_black,day4/members/werner/18_0362.webp,0.9981561851177935
solid_mask_black,day1/members/cathal/12_0342.webp,0.9941070305421601
solid_mask_black,day3/members/florian/19_0198.webp,0.9969467815321217
solid_mask_black,day4/members/allie/18_0334.webp,0.9965718964675142
solid_mask_black,day4/members/werner/09_0017.webp,0.9981818646689785
solid_mask_black,day4/members/werner/12_0528.webp,0.9966133053352193
solid_mask_black,day3/members/bjorn/20_0140.webp,0.9950660876411321
solid_mask_black,day3/members/onanong/15_0413.webp,0.9976316280071419
solid_mask_black,day1/members/luca/13_0044.webp,0.9973744907465787
solid_mask_black,day4/members/luca/11_0578.webp,0.9969425514435176
solid_mask_black,day4/members/werner/18_0672.webp,0.9973351285816445
solid_mask_black,day2/members/luca/11_0416.webp,0.9961915329240858
solid_mask_black,day1/members/stevan/08_0631.webp,0.9983293924251372
solid_mask_black,day3/members/luca/17_0412.webp,0.9960533606334918
solid_mask_black,day4/members/onanong/13_0378.webp,0.9955413572326702
solid_mask_black,day3/members/luca/11_0126.webp,0.9944160707151717
solid_mask_black,day4/members/cathal/13_0074.webp,0.9956245439716588
solid_mask_black,day2/members/cathal/19_0687.webp,0.996723014249231
solid_mask_black,day1/members/allie/09_0273.webp,0.9953410584032364
solid_mask_black,day3/members/luca/13_0698.webp,0.9965088559219692
solid_mask_black,day4/members/allie/09_0480.webp,0.9980820273175723
solid_mask_black,day1/members/luca/18_0040.webp,0.997503414036527
solid_mask_black,day2/members/luca/10_0654.webp,0.9961374877237853
solid_mask_black,day1/members/klaus/10_0063.webp,0.9194206470187778
solid_mask_black,day3/members/tien/20_0155.webp,0.995989681431423
solid_mask_black,day1/members/onanong/08_0611.webp,0.9959579690455018
solid_mask_black,day4/members/stevan/13_0714.webp,0.9958673790244289
solid_mask_black,day2/members/florian/12_0020.webp,0.9984540420447744
solid_mask_black,day1/members/cathal/09_0001.webp,0.9930663369838615
solid_mask_black,day1/members/luca/08_0225.webp,0.9976892530849485
solid_mask_black,day1/members/allie/14_0135.webp,0.996598722296345
solid_mask_black,day1/members/allie/10_0099.webp,0.9967453136119747
solid_mask_black,day4/members/bao/08_0028.webp,0.998340137395318
solid_mask_black,day1/members/bjorn/18_0340.webp,0.9971252713580631
layered_blur_downscale_noise,day3/members/stevan/20_0682.webp,0.9981439589373361
layered_blur_downscale_noise,day1/members/luca/12_0078.webp,0.9981699280475275
layered_blur_downscale_noise,day3/members/tien/14_0649.webp,0.9980046167008302
layered_blur_downscale_noise,day2/members/bjorn/16_0250.webp,0.998774522815372
layered_blur_downscale_noise,day1/members/stevan/10_0179.webp,0.9977858497900337
layered_blur_downscale_noise,day3/members/werner/08_0619.webp,0.9985074028192029
layered_blur_downscale_noise,day3/members/tien/10_0512.webp,0.9978363008139334
layered_blur_downscale_noise,day1/members/werner/14_0048.webp,0.997678525823574
layered_blur_downscale_noise,day1/members/klaus/17_0206.webp,0.9976623908350994
layered_blur_downscale_noise,day4/members/florian/11_0412.webp,0.9979776172109108
layered_blur_downscale_noise,day1/members/allie/18_0412.webp,0.9976671190274295
layered_blur_downscale_noise,day2/members/klaus/18_0601.webp,0.9983466203082504
layered_blur_downscale_noise,day4/members/allie/12_0604.webp,0.9978103070984714
layered_blur_downscale_noise,day1/members/onanong/08_0572.webp,0.9981123625752807
layered_blur_downscale_noise,day3/members/stevan/09_0286.webp,0.9978970319572942
layered_blur_downscale_noise,day3/members/tien/20_0434.webp,0.9980354581115205
layered_blur_downscale_noise,day4/members/werner/18_0362.webp,0.9981561851177935
layered_blur_downscale_noise,day1/members/cathal/12_0342.webp,0.9981397800712908
layered_blur_downscale_noise,day3/members/florian/19_0198.webp,0.9982991987574499
layered_blur_downscale_noise,day4/members/allie/18_0334.webp,0.9976198925033989
