protocol,model,subgroup,precision,recall,f1,f2,specificity,exploratory_oapr_detector_score,oapr_deployment_detector_score,recall_floor,passes_recall_floor,image_count,tp,fp,fn,source_table,adopted_primary
combined_1000,fixed_fusion_yolo11s1280_scrfd10g,profile_or_occluded_face,0.8959025470653378,0.9385150812064964,0.91671388101983,0.9296713399218569,,0.928803527745714,0.9320428924712207,0.85,,206,809,94,53,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,fusion_rfdetr_yolo11s_scrfd10g,edge_or_partial_face,0.8485838779956427,0.952322738386308,0.8974654377880186,0.9295942720763722,,0.9282345271976692,0.9362667357697576,0.85,,193,779,139,39,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,cv_box_reranker_with_sliced_yolo_predicted_conditions,profile_or_occluded_face,0.9156214367160777,0.931554524361949,0.923519263944796,0.9283236994219654,,0.9279524004930736,0.929153509362366,0.85,,206,803,74,59,08_sliced_rfdetr_detector_experiment,False
combined_1000,cv_box_reranker_with_sliced_yolo_predicted_conditions,profile_or_occluded_face,0.9156214367160777,0.931554524361949,0.923519263944796,0.9283236994219654,,0.9279524004930736,0.929153509362366,0.85,,206,803,74,59,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,rfdetr_medium_face_030,high_clutter,0.8666666666666667,0.9462738301559792,0.9047224523612262,0.9292035398230091,,0.9279252693583596,0.9340455412238055,0.85,,190,546,84,31,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,fusion_rfdetr_scrfd10g,all_images,0.8554385964912281,0.9493769470404984,0.8999630860095977,0.9289742417314434,,0.9276296467278464,0.9348824356583076,0.85,True,500,1219,206,65,08_sliced_rfdetr_detector_experiment,False
combined_1000,fusion_rfdetr_yolo11s_scrfd10g,medium_face,0.8557089084065245,0.948539638386648,0.899736147757256,0.9283964062074597,,0.927055692731288,0.9342207573438386,0.85,,223,682,115,37,08_sliced_rfdetr_detector_experiment,False
combined_1000,fixed_fusion_yolo11s1280_scrfd10g,medium_face,0.9103260869565216,0.9318497913769124,0.9209621993127148,0.9274640088593576,,0.926975522918824,0.9286009753054847,0.85,,223,670,66,49,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,fixed_fusion_yolo11s1280_scrfd10g,small_face,0.8468271334792122,0.9508599508599508,0.8958333333333334,0.9280575539568345,,0.9267000147402228,0.9347560698960978,0.85,,119,387,70,20,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,cv_box_reranker_with_sliced_yolo_predicted_conditions,small_face,0.8863109048723898,0.9385749385749386,0.9116945107398567,0.9276347741622147,,0.9266284282459134,0.9306134941015027,0.85,,119,382,49,25,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,fusion_rfdetr_yolo11s_scrfd10g,mixed_scale_face,0.8676470588235294,0.944,0.9042145593869731,0.9276729559748427,,0.9264183457290964,0.9322829448760637,0.85,,45,236,36,14,08_sliced_rfdetr_detector_experiment,False
02_egocentric_stress_500,fixed_fusion_yolo11s1280_scrfd10g,edge_or_partial_face,0.8998822143698468,0.9339853300733496,0.916616676664667,0.926959475855375,,0.9262328551508286,0.9288185549485057,0.85,,193,764,85,54,08_sliced_rfdetr_detector_experiment,False
