label,support,precision,recall,f1,f2,route_eligible,included_in_primary_score,method_id,feature_set,estimator,route_influence
large_face,42,0.1513157894736842,0.5476190476190477,0.2371134020618556,0.359375,False,True,handcrafted_scrfd__logistic_regression,handcrafted_scrfd,logistic_regression,False
low_light_or_dim,199,0.8464912280701754,0.9698492462311558,0.9039812646370023,0.9423828125,True,True,handcrafted_scrfd__logistic_regression,handcrafted_scrfd,logistic_regression,True
medium_face,223,0.4540682414698163,0.7757847533632287,0.5728476821192053,0.6794972505891594,False,True,handcrafted_scrfd__logistic_regression,handcrafted_scrfd,logistic_regression,False
mixed_scale_face,171,0.4655737704918032,0.8304093567251462,0.5966386554621849,0.717896865520728,False,True,handcrafted_scrfd__logistic_regression,handcrafted_scrfd,logistic_regression,False
motion_blur_or_low_sharpness,194,0.6796875,0.8969072164948454,0.7733333333333333,0.8430232558139535,True,True,handcrafted_scrfd__logistic_regression,handcrafted_scrfd,logistic_regression,True
multi_face,556,0.9384057971014492,0.9316546762589928,0.9350180505415162,0.9329971181556196,True,True,handcrafted_scrfd__logistic_regression,handcrafted_scrfd,logistic_regression,True
no_face,283,0.84375,0.9540636042402828,0.8955223880597015,0.9297520661157024,True,True,handcrafted_scrfd__logistic_regression,handcrafted_scrfd,logistic_regression,True
outdoor_or_vehicle_scene,23,0.4545454545454545,0.6521739130434783,0.5357142857142857,0.6,False,False,handcrafted_scrfd__logistic_regression,handcrafted_scrfd,logistic_regression,False
profile_or_occluded_face,206,0.3484848484848485,0.6699029126213593,0.4584717607973422,0.5655737704918032,False,True,handcrafted_scrfd__logistic_regression,handcrafted_scrfd,logistic_regression,False
single_face,161,0.4627450980392157,0.7329192546583851,0.5673076923076923,0.6562847608453838,False,True,handcrafted_scrfd__logistic_regression,handcrafted_scrfd,logistic_regression,False
small_face,229,0.518005540166205,0.8165938864628821,0.6338983050847458,0.7321848081440877,False,True,handcrafted_scrfd__logistic_regression,handcrafted_scrfd,logistic_regression,False
text_or_screen_risk_in_face_protocol,0,0.0,0.0,0.0,0.0,False,False,handcrafted_scrfd__logistic_regression,handcrafted_scrfd,logistic_regression,False
very_small_or_distant_face,52,0.2582781456953642,0.75,0.3842364532019704,0.5431754874651811,False,True,handcrafted_scrfd__logistic_regression,handcrafted_scrfd,logistic_regression,False
downward_egocentric_view,242,0.3631713554987212,0.5867768595041323,0.4486571879936809,0.5224429727740986,False,True,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,False
edge_or_partial_face,376,0.8131868131868132,0.7872340425531915,0.8,0.7922912205567452,True,True,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,True
high_clutter,360,0.8524173027989822,0.9305555555555556,0.8897742363877822,0.9138025095471904,True,True,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,True
large_face,42,0.1666666666666666,0.5238095238095238,0.2528735632183908,0.3666666666666666,False,True,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,False
low_light_or_dim,199,0.8571428571428571,0.964824120603015,0.9078014184397164,0.9411764705882352,True,True,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,True
medium_face,223,0.4468664850136239,0.7354260089686099,0.5559322033898305,0.6513105639396346,False,True,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,False
mixed_scale_face,171,0.472027972027972,0.7894736842105263,0.5908096280087527,0.6958762886597938,False,True,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,False
motion_blur_or_low_sharpness,194,0.6892430278884463,0.8917525773195877,0.7775280898876404,0.8422590068159689,True,True,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,True
multi_face,556,0.947841726618705,0.947841726618705,0.947841726618705,0.947841726618705,True,True,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,True
no_face,283,0.8576051779935275,0.9363957597173144,0.8952702702702703,0.919500346981263,True,True,handcrafted_yolo_multiscale__logistic_regression,handcrafted_yolo_multiscale,logistic_regression,True
