method,relative_path,non_sensitive_ssim,full_frame_utility,SSIM,privacy_score_legacy
blur,day3/members/stevan/20_0682.webp,0.9991653909732259,0.8667993234925291,0.9905861404702706,0.8
blur,day1/members/luca/12_0078.webp,0.9992400661571689,0.9942077580990274,0.998423718132452,1.0
blur,day3/members/tien/14_0649.webp,0.9990388196162853,0.8259828267464826,0.987560329927959,0.8571428571428572
blur,day2/members/bjorn/16_0250.webp,0.9993586977660499,0.9972747349365289,0.9982958441504556,1.0
blur,day1/members/stevan/10_0179.webp,0.9989947249055885,0.9404388994085296,0.9940577525859084,1.0
blur,day3/members/werner/08_0619.webp,0.9992450380153569,0.952289143934133,0.9939068562970208,1.0
blur,day3/members/tien/10_0512.webp,0.9987935472842467,0.9869426268753854,0.9973161050389104,1.0
blur,day1/members/werner/14_0048.webp,0.9987630668831914,0.9873520941068124,0.9969325181217276,1.0
blur,day1/members/klaus/17_0206.webp,0.998945543029769,0.865670838844846,0.992191459024092,0.5
blur,day4/members/florian/11_0412.webp,0.9989790767436407,0.911206432067602,0.9909351065918788,1.0
blur,day1/members/allie/18_0412.webp,0.998739889210991,0.8854572715126812,0.9931154433416006,0.6666666666666667
blur,day2/members/klaus/18_0601.webp,0.9991838193762481,0.9557438456439178,0.9949099609599912,1.0
blur,day4/members/allie/12_0604.webp,0.9989822523745072,0.9406561456974536,0.9935329177193224,1.0
blur,day1/members/onanong/08_0572.webp,0.9991568639637386,0.919605191509687,0.9933324785744412,1.0
blur,day3/members/stevan/09_0286.webp,0.9990299325073465,0.952570261087658,0.9954971124016088,1.0
blur,day3/members/tien/20_0434.webp,0.999066029682814,0.9436960282808752,0.994011336393398,0.8333333333333334
blur,day4/members/werner/18_0362.webp,0.9991000638449558,0.9932582335700936,0.997916913668756,1.0
blur,day1/members/cathal/12_0342.webp,0.9990325585479974,0.7844231662668981,0.98479697356983,1.0
blur,day3/members/florian/19_0198.webp,0.9990376703332156,0.9706558447889726,0.996681880690106,0.5
blur,day4/members/allie/18_0334.webp,0.9988777221362694,0.884901240554322,0.9919579887625954,0.5
blur,day4/members/werner/09_0017.webp,0.9991885580394535,0.9964197470078732,0.9978640305285388,1.0
blur,day4/members/werner/12_0528.webp,0.999043806098169,0.9381332600684602,0.9945889950189272,1.0
blur,day3/members/bjorn/20_0140.webp,0.9987408319353923,0.9355017132422014,0.994254926092562,0.9
blur,day3/members/onanong/15_0413.webp,0.9991061270222752,0.8677921792994472,0.988310492511696,1.0
blur,day1/members/luca/13_0044.webp,0.9990208965847435,0.9362593247425064,0.9929070865475148,1.0
blur,day4/members/luca/11_0578.webp,0.9991747840854451,0.8940603139265182,0.9900684659210448,1.0
blur,day4/members/werner/18_0672.webp,0.9991251268458763,0.9191070351612688,0.9923983875388148,1.0
blur,day2/members/luca/11_0416.webp,0.999157580524343,0.8859092636915931,0.9888872628932972,1.0
blur,day1/members/stevan/08_0631.webp,0.9991359655737995,0.9960659272244496,0.9978651769174854,1.0
blur,day3/members/luca/17_0412.webp,0.9991760993582327,0.8407711442010926,0.98897842679368,1.0
