protocol,model,subgroup,precision,recall,f1,f2,specificity,exploratory_oapr_detector_score,oapr_deployment_detector_score,recall_floor,passes_recall_floor,image_count,tp,fp,fn,source_table,adopted_primary,eligible_for_promotion
combined_1000,error_hardened_raw_plus_fusions_rf_iou0_6,all_images,0.9092656670511342,0.9071729957805909,0.9082181259600616,0.9075907590759077,,0.9076435454525128,0.9074867037314744,0.85,True,1000,2365,236,242,12_detector_error_hardening,False,True
combined_1000,error_hardened_all_raw_logreg_iou0_6,all_images,0.9010654490106544,0.9083237437667816,0.9046800382043936,0.9068627450980391,,0.906686987900572,0.9072326646239832,0.85,True,1000,2368,260,239,12_detector_error_hardening,False,True
combined_1000,error_hardened_all_raw_extra_iou0_5,all_images,0.9418604651162792,0.901035673187572,0.9209958831601646,0.9089150286333386,,0.9101082048735908,0.9070879912418846,0.85,True,1000,2349,145,258,12_detector_error_hardening,False,True
combined_1000,error_hardened_rfdetr_clean_histgb_iou0_6,all_images,0.9150833656455992,0.9052550824702724,0.9101426918627072,0.9072038133312832,,0.9074598131359136,0.9067250935030579,0.85,True,1000,2360,219,247,12_detector_error_hardening,False,True
combined_1000,error_hardened_all_raw_rf_iou0_6,all_images,0.899961962723469,0.9075565784426544,0.9037433155080212,0.9060274182430881,,0.9058438011370776,0.9064148268208443,0.85,True,1000,2366,263,241,12_detector_error_hardening,False,True
combined_1000,error_hardened_raw_plus_fusions_histgb_iou0_5,all_images,0.9455645161290324,0.8995013425393172,0.9219579319834872,0.9083514099783081,,0.9097218072593312,0.9063201767580366,0.85,True,1000,2345,135,262,12_detector_error_hardening,False,True
combined_1000,error_hardened_raw_plus_fusions_logreg_iou0_6,all_images,0.8992778411250475,0.9075565784426544,0.9033982436044292,0.9058886591622637,,0.9056891210013376,0.9063117248907961,0.85,True,1000,2366,265,241,12_detector_error_hardening,False,True
combined_1000,error_hardened_all_raw_extra_iou0_45,all_images,0.950466910272026,0.8979670118910625,0.9234714003944772,0.907997827941975,,0.9095930988550126,0.905724705741887,0.85,True,1000,2341,122,266,12_detector_error_hardening,False,True
combined_1000,error_hardened_raw_plus_fusions_extra_iou0_5,all_images,0.951993490642799,0.8975834292289988,0.9239881539980256,0.9079621294428061,,0.9096256165626356,0.9056191104238307,0.85,True,1000,2340,118,267,12_detector_error_hardening,False,True
combined_1000,error_hardened_rfdetr_clean_histgb_iou0_5,all_images,0.9436165928312524,0.8987341772151899,0.9206286836935168,0.9073658120982109,,0.9086960453963778,0.9053803274975514,0.85,True,1000,2343,140,264,12_detector_error_hardening,False,True
combined_1000,error_hardened_rfdetr_clean_extra_iou0_45,all_images,0.9612850082372324,0.8952819332566168,0.9271102284011916,0.9077473553204729,,0.909839314540822,0.9049985962706425,0.85,True,1000,2334,94,273,12_detector_error_hardening,False,True
combined_1000,error_hardened_raw_plus_fusions_histgb_iou0_45,all_images,0.9504065040650408,0.8968162639048715,0.9228340240773634,0.9070453134698945,,0.9086797279640114,0.9047325503121443,0.85,True,1000,2338,122,269,12_detector_error_hardening,False,True
combined_1000,error_hardened_all_raw_histgb_iou0_45,all_images,0.9542296689824274,0.8956655159186805,0.92402057776019,0.9067961165048544,,0.9086106966854326,0.9043045813715986,0.85,True,1000,2335,112,272,12_detector_error_hardening,False,True
combined_1000,error_hardened_all_raw_extra_iou0_6,all_images,0.922925678332678,0.9002685078634446,0.9114563106796116,0.9047105080564337,,0.9053311756144096,0.9036447249586153,0.85,True,1000,2347,196,260,12_detector_error_hardening,False,True
combined_1000,error_hardened_raw_plus_fusions_histgb_iou0_6,all_images,0.9157894736842104,0.901035673187572,0.9083526682134572,0.9039482798429925,,0.9043403019937072,0.9032392049010911,0.85,True,1000,2349,216,258,12_detector_error_hardening,False,True
combined_1000,error_hardened_raw_plus_fusions_extra_iou0_6,all_images,0.9311853619729514,0.8979670118910625,0.9142745557508298,0.9044197187451708,,0.9053657328641932,0.9029020236127785,0.85,True,1000,2341,173,266,12_detector_error_hardening,False,True
combined_1000,error_hardened_rfdetr_clean_extra_iou0_5,all_images,0.9529267294310274,0.8929804372842347,0.921980198019802,0.9043586356926425,,0.9062250066828058,0.9018196161010159,0.85,True,1000,2328,115,279,12_detector_error_hardening,False,True
combined_1000,error_hardened_rfdetr_clean_extra_iou0_6,all_images,0.9303621169916436,0.8968162639048715,0.91328125,0.9033304999613632,,0.9042870957373308,0.9017994082276717,0.85,True,1000,2338,175,269,12_detector_error_hardening,False,True
combined_1000,error_hardened_all_raw_histgb_iou0_6,all_images,0.9011115369873516,0.9018028385116992,0.901457055214724,0.9016644933650376,,0.9016472625350208,0.901699122072599,0.85,True,1000,2351,258,256,12_detector_error_hardening,False,True
combined_1000,error_hardened_raw_plus_fusions_extra_iou0_45,all_images,0.9540041067761807,0.8910625239739164,0.9214597381991274,0.9029775324574362,,0.9049559858104456,0.9003354343750228,0.85,True,1000,2323,112,284,12_detector_error_hardening,False,True
combined_1000,rfdetr_medium_face_030,all_images,0.8755140186915887,0.8983505945531262,0.886785308595229,0.8936884682897047,,0.8931756154774981,0.8949014054011171,0.85,True,1000,2342,333,265,08_sliced_rfdetr_detector_experiment,False,True
combined_1000,fusion_rfdetr_sliced_yolo11s_scrfd10g,all_images,0.6179006085192698,0.9347909474491752,0.7440085483132346,0.8478291121625382,,0.8554063137721996,0.8813614547345254,0.85,True,1000,2437,1507,170,08_sliced_rfdetr_detector_experiment,False,True
combined_1000,fusion_sliced_yolo11s_yolo11s_scrfd10g,all_images,0.6456480732956077,0.9190640583045646,0.7584678695789807,0.8473017893769007,,0.8515734126222729,0.8737818925717529,0.85,True,1000,2396,1315,211,08_sliced_rfdetr_detector_experiment,False,True
combined_1000,fusion_sliced_yolo11s_scrfd10g,all_images,0.6599269868014602,0.9014192558496356,0.7619974059662775,0.8399456715991136,,0.8424145664739785,0.8619016328821876,0.85,True,1000,2350,1211,257,08_sliced_rfdetr_detector_experiment,False,True
combined_1000,sliced_yolo11s_widerface_1280,all_images,0.6034926996850845,0.8085922516302263,0.6911475409836066,0.7571295165577184,,0.7587211187740572,0.7752166126675851,0.85,False,1000,2108,1385,499,08_sliced_rfdetr_detector_experiment,False,False
