residual_id,name,description,selection_score_dev,dev_n,dev_combined_precision,dev_combined_recall,dev_combined_f1,dev_combined_oapr,dev_combined_fp,dev_combined_fn,dev_screen_image_precision,dev_screen_image_recall,dev_screen_image_fn,dev_screen_box_hit,dev_screen_box_miss,dev_text_image_precision,dev_text_image_recall,dev_text_image_fp,dev_text_image_fn,dev_screen_miss_ids,dev_text_miss_ids,dev_low_iou_presence_ids,dev_n_low_iou_presence,test_n,test_combined_precision,test_combined_recall,test_combined_f1,test_combined_oapr,test_combined_fp,test_combined_fn,test_screen_image_precision,test_screen_image_recall,test_screen_image_fn,test_screen_box_hit,test_screen_box_miss,test_text_image_precision,test_text_image_recall,test_text_image_fp,test_text_image_fn,test_screen_miss_ids,test_text_miss_ids,test_low_iou_presence_ids,test_n_low_iou_presence
0,R0_promoted_text_cluster_hyp,Control: current promoted text-cluster screen completion (min_count=5) when YOLO empty.,0.6377267856085365,175,0.7785234899328859,0.9830508474576272,0.8689138576779026,0.9340638642602219,33,2,0.7350427350427351,0.9662921348314607,3,66,31,0.26956521739130435,0.9117647058823529,84,3,MM2_0026|MM2_0035|MM2_0222,MM2_0046|MM2_0085|MM2_0130,MM2_0101|MM2_0108|MM2_0119|MM2_0126|MM2_0129|MM2_0132|MM2_0139|MM2_0150|MM2_0162|MM2_0220,10,75,0.8333333333333334,0.9803921568627451,0.9009009009009009,0.9458134605193429,10,1,0.7872340425531915,0.9736842105263158,1,28,14,0.2765957446808511,0.8666666666666667,34,2,MM2_0216,MM2_0014|MM2_0148,MM2_0180|MM2_0191,2
1,R1_edge_phone_loose,Exploratory: loose edge-phone when YOLO empty (high FP; not default).,0.7618308162226369,175,0.7108433734939759,1.0,0.8309859154929577,0.928830816222637,48,0,0.5460122699386503,1.0,0,67,30,0.2719298245614035,0.9117647058823529,83,3,,MM2_0046|MM2_0085|MM2_0130,MM2_0026|MM2_0108|MM2_0119|MM2_0126|MM2_0129|MM2_0132|MM2_0139|MM2_0150|MM2_0158|MM2_0162|MM2_0220|MM2_0222,12,75,0.6986301369863014,1.0,0.8225806451612903,0.9255081749889528,22,0,0.5205479452054794,1.0,0,31,11,0.2765957446808511,0.8666666666666667,34,2,,MM2_0014|MM2_0148,MM2_0180,1
2,R2_yolo_conf005_union,Union base YOLO screens with YOLO11-1280 conf=0.05 (no hyp).,0.7728678562767763,175,0.7375,1.0,0.8489208633093526,0.9359802158273381,42,0,0.6717557251908397,0.9887640449438202,1,68,29,0.2807017543859649,0.9411764705882353,82,2,MM2_0119,MM2_0046|MM2_0085,MM2_0026|MM2_0108|MM2_0129|MM2_0132|MM2_0139|MM2_0150|MM2_0162|MM2_0220|MM2_0222,9,75,0.7936507936507936,0.9803921568627451,0.8771929824561403,0.9359182269398987,13,1,0.72,0.9473684210526315,2,28,14,0.2826086956521739,0.8666666666666667,33,2,MM2_0015|MM2_0216,MM2_0014|MM2_0148,MM2_0131|MM2_0191,2
3,R3_yolo005_plus_hyp,YOLO conf0.05 union + text-cluster hyp when still empty.,0.8079802158273381,175,0.7375,1.0,0.8489208633093526,0.9359802158273381,42,0,0.644927536231884,1.0,0,68,29,0.2807017543859649,0.9411764705882353,82,2,,MM2_0046|MM2_0085,MM2_0026|MM2_0108|MM2_0119|MM2_0129|MM2_0132|MM2_0139|MM2_0150|MM2_0162|MM2_0220|MM2_0222,10,75,0.7936507936507936,0.9803921568627451,0.8771929824561403,0.9359182269398987,13,1,0.6981132075471698,0.9736842105263158,1,28,14,0.2826086956521739,0.8666666666666667,33,2,MM2_0216,MM2_0014|MM2_0148,MM2_0131|MM2_0191,2
4,R4_hyp_plus_edge_loose,Text-cluster hyp when empty; loose edge residual if still empty (exploratory).,0.7658308162226369,175,0.7108433734939759,1.0,0.8309859154929577,0.928830816222637,48,0,0.5460122699386503,1.0,0,67,30,0.2743362831858407,0.9117647058823529,82,3,,MM2_0046|MM2_0085|MM2_0130,MM2_0026|MM2_0101|MM2_0108|MM2_0119|MM2_0126|MM2_0129|MM2_0132|MM2_0139|MM2_0150|MM2_0162|MM2_0220|MM2_0222,12,75,0.6986301369863014,1.0,0.8225806451612903,0.9255081749889528,22,0,0.5205479452054794,1.0,0,29,13,0.2765957446808511,0.8666666666666667,34,2,,MM2_0014|MM2_0148,MM2_0180|MM2_0191,2
5,R5_residual_stack_loose,YOLO conf0.05 ∪ hyp-if-empty ∪ loose edge (exploratory).,0.8025318015318015,175,0.7023809523809523,1.0,0.8251748251748251,0.9265318015318015,50,0,0.536144578313253,1.0,0,68,29,0.2831858407079646,0.9411764705882353,81,2,,MM2_0046|MM2_0085,MM2_0026|MM2_0108|MM2_0119|MM2_0129|MM2_0132|MM2_0139|MM2_0150|MM2_0162|MM2_0220|MM2_0222,10,75,0.6986301369863014,1.0,0.8225806451612903,0.9255081749889528,22,0,0.5205479452054794,1.0,0,29,13,0.2826086956521739,0.8666666666666667,33,2,,MM2_0014|MM2_0148,MM2_0131|MM2_0191,2
8,R8_hyp_plus_strict_edge_phone,Promotable residual: text-cluster hyp when empty; strict landscape bottom-phone edge if still empty.,0.6377267856085365,175,0.7785234899328859,0.9830508474576272,0.8689138576779026,0.9340638642602219,33,2,0.7350427350427351,0.9662921348314607,3,66,31,0.26956521739130435,0.9117647058823529,84,3,MM2_0026|MM2_0035|MM2_0222,MM2_0046|MM2_0085|MM2_0130,MM2_0101|MM2_0108|MM2_0119|MM2_0126|MM2_0129|MM2_0132|MM2_0139|MM2_0150|MM2_0162|MM2_0220,10,75,0.8333333333333334,0.9803921568627451,0.9009009009009009,0.9458134605193429,10,1,0.7916666666666666,1.0,0,29,13,0.2765957446808511,0.8666666666666667,34,2,,MM2_0014|MM2_0148,MM2_0180|MM2_0191,2
9,R9_strict_edge_only_if_empty,Strict landscape bottom-phone edge only when YOLO empty (no text-cluster hyp).,0.508389706956851,175,0.7785234899328859,0.9830508474576272,0.8689138576779026,0.9340638642602219,33,2,0.8217821782178217,0.9325842696629213,6,65,32,0.27350427350427353,0.9411764705882353,85,2,MM2_0026|MM2_0035|MM2_0101|MM2_0119|MM2_0158|MM2_0222,MM2_0046|MM2_0085,MM2_0108|MM2_0126|MM2_0129|MM2_0132|MM2_0139|MM2_0150|MM2_0162|MM2_0220,8,75,0.8333333333333334,0.9803921568627451,0.9009009009009009,0.9458134605193429,10,1,0.85,0.8947368421052632,4,28,14,0.2708333333333333,0.8666666666666667,35,2,MM2_0015|MM2_0131|MM2_0180|MM2_0191,MM2_0014|MM2_0148,,0
